year,id,j2051b,j2054b
2009,419,120,0
2006,420,30,0
2007,420,120,0
2008,420,60,0
2009,420,60,0
2006,424,120,0
2007,424,150,0
2008,424,80,0
2009,424,120,0
2006,425,0,0
2007,425,0,0
2008,425,0,0
2009,425,0,0
2006,426,120,30
2007,426,0,0
2008,426,60,0
2009,426,50,0
2006,427,100,20
2007,427,140,20
2008,427,60,30
2009,427,150,0
2006,428,20,60
2007,428,40,120
2008,428,40,120
2009,428,30,60
2006,429,20,0
2007,429,40,0
2008,429,30,0
2009,429,20,0
2006,431,120,60
2007,431,120,20
2008,431,60,30
2009,431,90,30
2006,433,0,60
2007,433,20,90
2008,433,20,40
2009,433,20,30
2006,434,120,40
2007,434,120,30
2008,434,40,0
2009,434,60,30
2009,438,0,0
2009,440,120,0
2007,453,30,30
2008,453,60,60
2006,454,20,0
2007,454,60,30
2009,454,60,60
2006,456,0,0
2007,456,0,0
2008,456,0,0
2006,457,35,30
2008,457,90,30
2009,457,30,60
2008,458,60,0
2009,458,90,0
2008,459,30,0
2008,461,30,0
2006,465,10,60
2007,465,60,60
2008,465,30,60
2006,466,10,0
2008,466,60,0
2009,466,60,10
2006,474,180,90
2007,474,180,0
2008,474,180,120
2009,474,120,30
2007,476,40,0
2008,476,40,50
2009,476,180,0
2006,485,60,60
2007,485,45,120
2006,486,60,0
2007,486,180,15
2006,502,0,0
2007,502,0,0
2008,502,0,0
2009,502,0,0
2006,506,15,0
2006,510,0,0
2007,510,0,0
2006,513,60,60
2007,513,30,0
2008,513,30,30
2009,513,40,60
2006,514,60,60
2007,514,60,60
2008,514,90,60
2009,514,40,60
2006,517,30,60
2007,517,30,30
2008,517,30,30
2009,517,30,60
2006,518,30,0
2007,518,30,30
2008,518,30,0
2009,518,30,30
2006,519,10,10
2007,519,10,0
2008,519,15,0
2007,520,15,30
2008,520,30,30
2009,520,60,30
2007,522,10,30
2008,522,15,30
2009,522,10,30
2007,523,10,0
2008,523,30,0
2009,523,40,0
2006,525,60,0
2007,525,30,30
2008,525,30,40
2009,525,40,60
2006,526,60,60
2007,526,30,30
2008,526,20,0
2009,526,40,0
2006,527,60,30
2007,527,60,90
2008,527,30,30
2009,527,60,30
2006,528,40,0
2007,528,30,0
2008,528,30,15
2009,528,30,30
2006,530,30,0
2007,530,15,0
2008,530,20,20
2009,530,0,0
2009,532,60,90
2006,534,90,0
2007,534,20,0
2008,534,0,0
2006,535,20,60
2007,535,10,120
2008,535,20,30
2009,535,20,120
2006,536,480,30
2008,536,60,20
2008,541,20,40
2006,543,0,40
2007,543,30,10
2006,544,30,40
2008,544,20,40
2009,544,40,40
2006,545,0,0
2008,546,0,10
2009,546,40,0
2006,550,0,90
2009,550,9,40
2006,551,0,0
2008,551,60,0
2009,551,40,0
2006,553,0,60
2006,554,0,20
2006,557,0,0
2009,557,20,0
2006,558,0,40
2006,561,0,40
2006,562,0,0
2007,562,0,0
2008,562,0,0
2009,562,0,0
2006,563,0,30
2009,563,20,30
2006,564,0,60
2009,564,10,40
2006,565,60,0
2007,565,30,0
2008,565,20,0
2009,565,20,30
2006,566,0,0
2007,566,0,0
2008,567,40,40
2009,567,40,60
2006,568,40,100
2006,569,0,30
2009,569,0,0
2006,570,0,0
2007,570,0,0
2008,570,0,0
2009,570,0,0
2006,571,60,0
2007,571,0,0
2008,571,0,0
2009,571,0,0
2006,572,20,60
2006,573,120,60
2007,573,60,60
2008,573,90,0
2009,573,50,40
2007,574,30,60
2008,574,0,0
2009,574,40,40
2006,581,20,60
2007,581,20,60
2008,581,20,60
2009,581,40,90
2006,583,30,40
2007,583,20,20
2009,583,60,20
2007,595,0,0
2006,596,150,110
2007,596,60,60
2008,596,30,60
2009,596,30,60
2006,602,20,90
2007,602,20,60
2009,602,5,60
2006,603,30,60
2007,603,60,20
2008,603,40,60
2009,603,40,0
2006,604,40,70
2008,604,60,0
2009,604,60,20
2006,606,30,90
2007,606,20,60
2008,606,20,60
2009,606,30,60
2007,607,120,0
2008,607,60,0
2009,607,40,0
2007,608,90,60
2008,608,60,10
2009,608,60,15
2007,609,60,30
2008,609,40,0
2009,609,40,0
2006,612,60,60
2007,612,20,30
2008,612,40,180
2009,612,15,60
2007,613,0,0
2008,613,0,0
2009,613,30,60
2006,614,60,60
2008,614,0,30
2009,614,25,30
2009,615,10,120
2006,616,50,0
2007,616,20,0
2006,617,80,120
2006,618,30,60
2006,619,30,30
2007,619,20,40
2008,619,20,0
2006,620,60,0
2007,620,0,0
2008,620,60,0
2006,621,60,60
2007,621,60,60
2008,621,60,60
2006,622,40,30
2007,622,60,30
2008,622,60,0
2009,622,40,20
2006,624,60,0
2007,624,30,10
2008,624,20,0
2009,624,10,0
2006,625,35,0
2007,625,60,30
2008,625,20,0
2009,625,10,0
2006,626,60,0
2007,626,30,10
2008,626,40,0
2006,629,15,40
2007,629,30,30
2008,629,30,60
2007,636,40,0
2008,636,40,0
2009,636,0,0
2006,638,40,60
2007,638,40,60
2008,638,60,0
2009,638,40,0
2009,639,60,30
2006,641,0,0
2008,641,0,0
2009,641,0,0
2006,642,20,15
2006,643,15,60
2006,644,480,30
2007,644,20,60
2008,644,20,0
2009,644,20,0
2008,645,0,10
2006,651,30,60
2007,651,20,90
